pair_choice,span,minimum_adjacent_separation,relative_eigenvalue_threshold,pair_weight_in_triple_space,pair_norm_squared,minimum_gram_eigenvalue,maximum_gram_eigenvalue,retained_rank,retained_condition_number,discarded_overlap_norm_squared
saved_incoming_pair,145,40,1.0e-8,5.615503174195761e-6,1.0000000000000702,0.9997741007431128,1.0014326920606593,66,1.0016589660767505,0.0
saved_incoming_pair,145,50,1.0e-12,2.8694500460555597e-7,1.0000000000000702,0.9999824387458798,1.000272590700158,46,1.0002901570498,0.0
saved_incoming_pair,145,50,1.0e-10,2.8694500460555597e-7,1.0000000000000702,0.9999824387458798,1.000272590700158,46,1.0002901570498,0.0
saved_incoming_pair,145,50,1.0e-8,2.8694500460555597e-7,1.0000000000000702,0.9999824387458798,1.000272590700158,46,1.0002901570498,0.0
saved_incoming_pair,160,20,1.0e-12,0.0024254996677760122,0.9999999999999617,0.975689458632309,1.0954302294985812,121,1.1227242641671265,0.0
saved_incoming_pair,160,20,1.0e-10,0.0024254996677760122,0.9999999999999617,0.975689458632309,1.0954302294985812,121,1.1227242641671265,0.0
saved_incoming_pair,160,20,1.0e-8,0.0024254996677760122,0.9999999999999617,0.975689458632309,1.0954302294985812,121,1.1227242641671265,0.0
saved_incoming_pair,160,30,1.0e-12,0.00011353687724121675,0.9999999999999617,0.997081520785808,1.00975103023659,101,1.012706593379443,0.0
saved_incoming_pair,160,30,1.0e-10,0.00011353687724121675,0.9999999999999617,0.997081520785808,1.00975103023659,101,1.012706593379443,0.0
saved_incoming_pair,160,30,1.0e-8,0.00011353687724121675,0.9999999999999617,0.997081520785808,1.00975103023659,101,1.012706593379443,0.0
saved_incoming_pair,160,40,1.0e-12,5.6155031476126966e-6,0.9999999999999617,0.9997740946778401,1.0014326852000917,81,1.0016589652913401,0.0
saved_incoming_pair,160,40,1.0e-10,5.6155031476126966e-6,0.9999999999999617,0.9997740946778401,1.0014326852000917,81,1.0016589652913401,0.0
saved_incoming_pair,160,40,1.0e-8,5.6155031476126966e-6,0.9999999999999617,0.9997740946778401,1.0014326852000917,81,1.0016589652913401,0.0
saved_incoming_pair,160,50,1.0e-12,2.869453563641493e-7,0.9999999999999617,0.9999824173524796,1.0002725644594967,61,1.0002901522086611,0.0
saved_incoming_pair,160,50,1.0e-10,2.869453563641493e-7,0.9999999999999617,0.9999824173524796,1.0002725644594967,61,1.0002901522086611,0.0
saved_incoming_pair,160,50,1.0e-8,2.869453563641493e-7,0.9999999999999617,0.9999824173524796,1.0002725644594967,61,1.0002901522086611,0.0
saved_incoming_pair,180,20,1.0e-12,0.002425499667652555,0.9999999999999442,0.9756894585731437,1.0954302294590745,141,1.122724264194717,0.0
saved_incoming_pair,180,20,1.0e-10,0.002425499667652555,0.9999999999999442,0.9756894585731437,1.0954302294590745,141,1.122724264194717,0.0
saved_incoming_pair,180,20,1.0e-8,0.002425499667652555,0.9999999999999442,0.9756894585731437,1.0954302294590745,141,1.122724264194717,0.0
saved_incoming_pair,180,30,1.0e-12,0.00011353687721693163,0.9999999999999442,0.9970815205754928,1.0097510300525157,121,1.012706593408441,0.0
saved_incoming_pair,180,30,1.0e-10,0.00011353687721693163,0.9999999999999442,0.9970815205754928,1.0097510300525157,121,1.012706593408441,0.0
saved_incoming_pair,180,30,1.0e-8,0.00011353687721693163,0.9999999999999442,0.9970815205754928,1.0097510300525157,121,1.012706593408441,0.0
saved_incoming_pair,180,40,1.0e-12,5.615503142516972e-6,0.9999999999999442,0.9997740939685553,1.0014326843918964,101,1.0016589651935843,0.0
saved_incoming_pair,180,40,1.0e-10,5.615503142516972e-6,0.9999999999999442,0.9997740939685553,1.0014326843918964,101,1.0016589651935843,0.0
saved_incoming_pair,180,40,1.0e-8,5.615503142516972e-6,0.9999999999999442,0.9997740939685553,1.0014326843918964,101,1.0016589651935843,0.0
saved_incoming_pair,180,50,1.0e-12,2.8694535957815257e-7,0.9999999999999442,0.9999824148484722,1.000272561092694,81,1.0002901513465772,0.0
saved_incoming_pair,180,50,1.0e-10,2.8694535957815257e-7,0.9999999999999442,0.9999824148484722,1.000272561092694,81,1.0002901513465772,0.0
saved_incoming_pair,180,50,1.0e-8,2.8694535957815257e-7,0.9999999999999442,0.9999824148484722,1.000272561092694,81,1.0002901513465772,0.0
saved_incoming_pair,220,20,1.0e-12,0.002425499667645744,0.9999999999999303,0.975689458569849,1.0954302294568654,181,1.122724264196244,0.0
saved_incoming_pair,220,20,1.0e-10,0.002425499667645744,0.9999999999999303,0.975689458569849,1.0954302294568654,181,1.122724264196244,0.0
saved_incoming_pair,220,20,1.0e-8,0.002425499667645744,0.9999999999999303,0.975689458569849,1.0954302294568654,181,1.122724264196244,0.0
saved_incoming_pair,220,30,1.0e-12,0.00011353687721558621,0.9999999999999303,0.9970815205638266,1.0097510300423016,161,1.012706593410046,0.0
saved_incoming_pair,220,30,1.0e-10,0.00011353687721558621,0.9999999999999303,0.9970815205638266,1.0097510300423016,161,1.012706593410046,0.0
saved_incoming_pair,220,30,1.0e-8,0.00011353687721558621,0.9999999999999303,0.9970815205638266,1.0097510300423016,161,1.012706593410046,0.0
saved_incoming_pair,220,40,1.0e-12,5.615503142222471e-6,0.9999999999999303,0.9997740939292411,1.0014326843470653,141,1.0016589651881314,0.0
saved_incoming_pair,220,40,1.0e-10,5.615503142222471e-6,0.9999999999999303,0.9997740939292411,1.0014326843470653,141,1.0016589651881314,0.0
saved_incoming_pair,220,40,1.0e-8,5.615503142222471e-6,0.9999999999999303,0.9997740939292411,1.0014326843470653,141,1.0016589651881314,0.0
saved_incoming_pair,220,50,1.0e-12,2.8694535952413616e-7,0.9999999999999303,0.9999824147096953,1.0002725609040903,121,1.0002901512967899,0.0
saved_incoming_pair,220,50,1.0e-10,2.8694535952413616e-7,0.9999999999999303,0.9999824147096953,1.0002725609040903,121,1.0002901512967899,0.0
